key,l95,mean,u95,prob_gt_0,prob_lt_0
b_antonym_typelexical,-0.12975411353224886,0.013217191958220558,0.15890245436814393,57.725,42.275
b_Intercept,-1.2554259652635862,-1.159890282475473,-1.0646507507743617,0,100
int_lex_morph_ant_v_negpos,-0.001049596726352136,0.26004276788503367,0.5108776446401807,97.425,2.5749999999999997
int_lex_morph_negant_v_pos,-0.1588406650066229,0.03986435110755583,0.2322292823580793,66.525,33.475
int_lex_morph_negpos_v_negant,0.07405477233303141,0.3658005133305962,0.6549296681448569,99.075,0.9249999999999999
lex_ant_v_negpos,0.08073932376248955,0.31330415540922535,0.5483191745218726,99.425,0.575
lex_negant_v_pos,1.9630397515121785,2.1451997681336112,2.3243099872079096,100,0
lex_negpos_v_negant,1.467116834850614,1.7330324885540254,1.9910539475597104,100,0
morph_ant_v_negpos,-0.0924416075003926,0.05326138752419172,0.19673904278636856,77.55,22.45
morph_negant_v_pos,1.9458481282071642,2.1053354170260556,2.2615307464754055,100,0
morph_negpos_v_negant,1.177471364171502,1.367231975223429,1.5573765382606155,100,0
